Test: 12715_CalorimeterTest01
Date: Thu Apr  7 02:44:56 2022
Time,Voltage[V],Current[mA],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
02:45:46,0.00,0.08,33.50,30.12,32.81,0,0
02:45:49,0.00,0.15,33.44,30.19,32.88,0,0
02:45:53,0.00,0.11,33.41,30.19,32.88,0,0
02:45:56,4.43,4.83,33.44,30.19,32.81,0,0
02:45:59,9.09,8.75,33.44,30.19,32.88,0,0
02:46:02,9.14,8.49,33.44,30.19,32.91,0,0
02:46:05,9.15,8.38,33.44,30.22,32.97,0,0
02:46:08,9.14,8.38,33.44,30.19,33.03,0,0
02:46:11,9.16,8.34,33.44,30.19,33.16,0,0
02:46:14,9.14,8.26,33.44,30.19,33.22,0,0
02:46:17,9.15,8.19,33.44,30.19,33.34,0,0
02:46:21,9.16,8.23,33.44,30.19,33.47,0,0
02:46:24,9.15,8.23,33.47,30.19,33.59,0,0
02:46:27,9.16,8.19,33.44,30.19,33.72,0,0
02:46:30,9.15,8.11,33.47,30.12,33.84,0,0
02:46:33,9.15,8.11,33.47,30.12,33.97,0,0
02:46:36,9.16,8.15,33.44,30.16,34.19,0,0
02:46:39,9.18,8.15,33.47,30.09,34.34,0,0
02:46:42,9.16,7.96,33.44,30.09,34.50,0,0
02:46:45,9.16,8.07,33.44,30.06,34.66,0,20
02:46:49,9.16,8.11,33.50,30.06,34.84,0,20
02:46:52,9.18,8.07,33.47,30.06,35.03,0,20
02:46:55,9.18,8.04,33.47,30.03,35.19,0,20
02:46:58,9.19,8.00,33.50,30.06,35.38,0,20
02:47:01,9.19,7.92,33.50,30.06,35.56,0,20
02:47:04,9.19,7.92,33.50,30.06,35.72,0,20
02:47:07,9.20,7.96,33.50,30.06,35.91,0,20
02:47:10,9.19,7.89,33.50,30.00,36.03,0,20
02:47:14,9.19,7.89,33.50,29.97,36.25,0,20
02:47:17,9.20,7.89,33.50,29.97,36.34,0,20
02:47:20,9.19,7.89,33.53,29.94,36.56,0,20
02:47:23,9.19,7.85,33.56,29.94,36.69,0,20
02:47:26,9.19,7.96,33.56,29.87,36.84,0,20
02:47:29,9.19,7.85,33.53,29.87,37.03,0,20
02:47:32,9.19,7.81,33.53,29.84,37.19,0,20
02:47:35,9.19,7.85,33.56,29.84,37.34,0,20
02:47:38,9.21,7.81,33.56,29.81,37.50,0,20
02:47:42,9.20,7.73,33.56,29.81,37.69,0,20
02:47:45,9.20,7.89,33.56,29.78,37.81,0,20
02:47:48,9.20,7.85,33.59,29.75,38.00,0,20
02:47:51,9.21,7.89,33.56,29.72,38.16,0,20
02:47:54,9.19,7.85,33.59,29.69,38.34,0,20
02:47:57,9.21,7.77,33.59,29.69,38.47,0,20
02:48:00,9.21,7.73,33.59,29.66,38.63,0,20
02:48:03,9.21,7.81,33.63,29.62,38.78,0,20
02:48:06,9.23,7.85,33.63,29.59,38.97,0,20
02:48:10,9.21,7.73,33.63,29.56,39.09,0,20
02:48:13,9.20,7.77,33.63,29.59,39.25,0,20
02:48:16,9.21,7.66,33.63,29.53,39.41,0,50
02:48:19,9.21,7.85,33.63,29.50,39.56,0,80
02:48:22,9.21,7.73,33.63,29.50,39.72,0,100
02:48:25,9.20,7.85,33.66,29.50,39.78,0,100
02:48:28,9.20,7.81,33.66,29.47,39.88,0,100
02:48:31,9.20,7.85,33.66,29.47,39.94,0,100
02:48:35,9.20,7.85,33.69,29.44,40.03,0,100
02:48:38,9.19,7.89,33.69,29.41,40.06,0,100
02:48:41,9.19,7.92,33.69,29.37,40.06,0,100
02:48:44,9.18,7.89,33.69,29.37,40.06,0,100
02:48:47,9.19,7.92,33.72,29.37,40.00,0,100
02:48:50,9.18,7.96,33.75,29.37,40.00,0,100
02:48:53,9.19,7.89,33.69,29.31,39.97,0,100
02:48:56,9.16,7.92,33.69,29.31,39.94,0,100
02:48:59,9.16,7.96,33.72,29.28,39.88,0,100
02:49:03,9.15,7.96,33.69,29.25,39.81,0,100
02:49:06,9.18,7.85,33.72,29.22,39.78,0,100
02:49:09,9.18,8.00,33.69,29.25,39.72,0,100
02:49:12,9.16,7.92,33.75,29.22,39.69,0,100
02:49:15,9.16,8.00,33.75,29.19,39.63,0,100
02:49:18,9.16,8.04,33.75,29.12,39.59,0,100
02:49:21,9.18,8.00,33.72,29.19,39.56,0,100
