Test: 12715_RawTest02
Date: Wed Apr  6 03:31:06 2022
Time,Voltage[V],Current[mA],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
03:31:26,0.00,0.00,32.69,35.56,33.38,0,0
03:31:29,0.00,0.15,32.63,35.53,33.44,0,0
03:31:32,9.16,8.98,32.63,35.53,33.44,0,0
03:31:35,9.28,8.56,32.69,35.56,33.41,0,0
03:31:38,9.28,8.41,32.63,35.56,33.44,0,0
03:31:41,9.29,8.30,32.63,35.59,33.44,0,0
03:31:44,9.30,8.30,32.63,35.66,33.44,0,100
03:31:48,9.28,8.11,32.63,35.72,33.44,0,100
03:31:51,9.29,8.26,32.59,35.84,33.44,0,100
03:31:54,9.28,8.11,32.56,35.94,33.47,0,100
03:31:57,9.26,8.15,32.53,36.00,33.44,0,100
03:32:00,9.26,8.11,32.50,36.06,33.44,0,100
03:32:03,9.24,8.07,32.50,36.13,33.50,0,100
03:32:06,9.24,8.07,32.34,36.25,33.50,0,100
03:32:09,9.24,8.00,32.13,36.28,33.53,0,100
03:32:13,9.24,8.07,31.81,36.34,33.56,0,100
03:32:16,9.24,8.11,31.41,36.38,33.56,0,100
03:32:19,9.20,8.07,31.03,36.47,33.56,0,100
03:32:22,9.21,8.00,30.59,36.50,33.56,0,100
03:32:25,9.20,8.11,30.16,36.56,33.59,0,100
03:32:28,9.21,8.04,29.72,36.63,33.63,0,100
03:32:31,9.21,7.96,29.31,36.66,33.63,0,100
03:32:34,9.19,8.04,28.84,36.69,33.63,0,100
03:32:37,9.18,8.04,28.47,36.75,33.66,0,100
03:32:41,9.18,8.04,28.06,36.78,33.69,0,100
03:32:44,9.20,8.11,27.69,36.84,33.69,0,100
03:32:47,9.19,8.00,27.28,36.88,33.69,0,100
03:32:50,9.18,8.00,26.91,36.91,33.72,0,100
03:32:53,9.19,8.04,26.50,36.94,33.75,0,100
03:32:56,9.19,8.04,26.09,36.97,33.78,0,100
03:32:59,9.18,8.00,25.78,37.00,33.78,0,100
03:33:02,9.16,7.96,25.41,37.06,33.81,0,100
03:33:06,9.18,8.07,25.06,37.03,33.81,0,100
03:33:09,9.16,7.92,24.72,37.09,33.81,0,100
03:33:12,9.14,7.96,24.37,37.09,33.84,0,100
03:33:15,9.13,8.00,24.03,37.19,33.88,0,100
03:33:18,9.10,8.00,23.72,37.16,33.88,0,100
03:33:21,9.14,7.92,23.50,37.19,33.88,0,100
03:33:24,9.10,7.89,23.22,37.19,33.88,0,100
03:33:27,9.11,7.92,23.00,37.22,33.91,0,100
03:33:30,9.08,7.92,22.75,37.25,33.91,0,100
03:33:34,9.08,7.96,22.47,37.25,33.94,0,100
03:33:37,9.08,8.00,22.16,37.31,33.94,0,100
03:33:40,9.08,7.92,21.87,37.31,33.94,0,100
03:33:43,9.09,7.96,21.59,37.31,33.94,0,100
03:33:46,9.08,7.89,21.34,37.28,33.97,0,100
03:33:49,9.19,8.04,21.09,37.38,33.94,0,100
03:33:52,9.15,7.96,20.81,37.34,33.94,0,100
03:33:55,9.14,7.89,20.62,37.34,33.97,0,100
03:33:59,9.34,8.19,20.37,37.38,34.00,0,100
03:34:02,9.30,8.11,20.19,37.41,34.00,0,100
03:34:05,9.33,8.04,19.97,37.38,34.00,0,100
03:34:08,9.38,8.07,19.75,37.41,34.00,0,100
03:34:11,9.40,8.19,19.69,37.44,34.00,0,100
03:34:14,9.40,8.11,19.62,37.44,34.00,0,100
03:34:17,9.39,8.19,19.47,37.44,34.00,0,100
03:34:20,9.38,8.15,19.31,37.47,34.03,0,100
03:34:23,9.40,8.15,19.12,37.50,34.06,0,100
03:34:27,9.39,8.15,18.94,37.47,34.06,0,100
03:34:30,9.40,8.07,18.75,37.50,34.06,0,100
03:34:33,9.40,8.04,18.53,37.50,34.06,0,100
03:34:36,9.39,8.11,18.37,37.50,34.06,0,100
03:34:39,9.41,8.07,18.28,37.50,34.06,0,100
03:34:42,9.39,8.23,18.28,37.50,34.09,0,100
03:34:45,9.39,8.15,18.25,37.50,34.06,0,100
03:34:48,9.39,8.15,18.16,37.56,34.06,0,100
03:34:52,9.41,8.15,18.09,37.53,34.06,0,100
03:34:55,9.40,8.23,18.12,37.53,34.09,0,100
03:34:58,9.41,8.23,18.31,37.56,34.09,0,100
03:35:01,9.36,8.00,18.53,37.56,34.13,0,100
03:35:04,9.34,8.07,18.59,37.56,34.13,0,100
03:35:07,9.35,8.04,18.59,37.56,34.13,0,100
03:35:10,9.35,8.11,18.56,37.56,34.13,0,100
03:35:13,9.34,8.07,18.53,37.56,34.16,0,100
03:35:17,9.34,8.07,18.47,37.56,34.13,0,100
03:35:20,9.35,8.19,18.47,37.56,34.16,0,100
03:35:23,9.35,8.07,18.50,37.56,34.13,0,100
03:35:26,9.34,8.11,18.47,37.59,34.16,0,100
03:35:29,9.34,8.19,18.47,37.56,34.16,0,100
03:35:32,9.35,8.07,18.47,37.56,34.19,0,100
03:35:35,9.35,8.04,18.44,37.59,34.16,0,100
03:35:38,9.34,8.00,18.47,37.63,34.19,0,100
03:35:41,9.36,8.15,18.44,37.59,34.19,0,100
03:35:45,9.34,8.15,18.44,37.63,34.19,0,100
03:35:48,9.34,8.15,18.41,37.63,34.19,0,100
03:35:51,9.34,8.11,18.34,37.59,34.19,0,100
03:35:54,9.34,8.07,18.37,37.59,34.19,0,100
03:35:57,9.34,8.15,18.31,37.59,34.19,0,100
03:36:00,9.34,8.07,18.34,37.59,34.22,0,100
03:36:03,9.34,8.11,18.31,37.59,34.22,0,100
03:36:06,9.35,8.04,18.37,37.63,34.22,0,100
03:36:10,9.35,8.07,18.41,37.63,34.25,0,100
03:36:13,9.35,8.07,18.34,37.63,34.19,0,100
03:36:16,9.35,8.11,18.31,37.63,34.25,0,100
03:36:19,9.36,8.11,18.31,37.63,34.25,0,100
03:36:22,9.35,8.07,18.31,37.63,34.25,0,100
