Test: 12715_WaterCircuit_CoolingTest01
Date: Fri Apr 15 20:22:37 2022
Time,Voltage[V],Current[A],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
20:23:34,0.00,0.23,33.81,27.25,34.13,0,0
20:23:37,0.00,0.19,33.75,27.19,34.13,0,0
20:23:40,0.00,0.15,33.75,27.25,34.16,0,0
20:23:43,4.93,5.02,33.75,27.25,34.16,0,0
20:23:46,9.88,9.55,33.75,27.25,34.16,0,0
20:23:49,9.93,9.51,33.75,27.37,34.19,0,0
20:23:52,9.91,9.39,33.75,27.56,34.19,0,0
20:23:55,9.90,9.32,33.75,27.72,34.19,0,0
20:23:58,9.89,9.36,33.75,27.81,34.25,0,0
20:24:02,9.86,9.36,33.75,27.87,34.28,0,0
20:24:05,9.89,9.28,33.75,27.87,34.34,0,0
20:24:08,9.89,9.21,33.72,27.87,34.41,0,20
20:24:11,9.90,9.24,33.75,27.84,34.47,0,20
20:24:14,9.86,9.24,33.75,27.78,34.53,0,20
20:24:17,9.89,9.24,33.75,27.75,34.63,0,50
20:24:20,9.91,9.21,33.72,27.72,34.72,0,50
20:24:23,9.86,9.09,33.75,27.69,34.78,0,50
20:24:26,9.86,9.13,33.75,27.66,34.91,0,50
20:24:30,9.91,9.02,33.75,27.62,35.00,0,50
20:24:33,9.88,9.13,33.75,27.62,35.09,0,50
20:24:36,9.91,9.13,33.75,27.56,35.16,0,50
20:24:39,9.90,9.13,33.75,27.56,35.25,0,50
20:24:42,9.88,9.06,33.81,27.59,35.31,0,50
20:24:45,9.91,9.09,33.75,27.56,35.41,0,50
20:24:48,9.90,8.98,33.78,27.53,35.47,0,50
20:24:51,9.93,9.02,33.78,27.53,35.56,0,50
20:24:54,9.89,9.13,33.81,27.50,35.66,0,50
20:24:58,9.93,9.06,33.81,27.50,35.78,0,50
20:25:01,9.93,9.17,33.78,27.47,35.81,0,50
20:25:04,9.91,9.09,-46.59,27.44,35.91,0,50
