Test: 12715_WaterCircuit_HeatingTest01
Date: Mon Apr 18 01:38:37 2022
Time,Voltage[V],Current[A],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
01:39:22,0.00,0.45,33.06,30.69,33.06,0,0
01:39:25,0.00,0.38,33.03,30.62,33.13,0,0
01:39:28,4.64,4.87,33.03,30.66,33.09,0,0
01:39:32,9.40,9.13,33.06,30.72,33.13,0,20
01:39:35,9.45,9.06,33.03,30.91,33.09,0,50
01:39:38,9.46,9.21,33.06,31.12,33.03,0,100
01:39:41,9.49,9.06,33.06,31.28,33.00,0,100
01:39:44,9.49,9.06,33.03,31.53,32.97,0,100
01:39:47,9.48,9.02,33.06,31.62,32.88,0,100
01:39:50,9.49,9.06,33.06,31.81,32.81,0,100
01:39:53,9.48,8.94,33.06,32.00,32.78,0,100
01:39:56,9.51,9.02,33.09,32.19,32.69,0,100
01:40:00,9.53,9.06,33.13,32.38,32.59,0,100
01:40:03,9.53,8.98,33.09,32.59,32.50,0,100
01:40:06,9.53,9.06,33.13,32.78,32.41,0,100
01:40:09,9.53,9.09,33.13,33.00,32.34,0,100
01:40:12,9.55,9.02,33.13,33.19,32.25,0,100
01:40:15,9.54,9.09,33.09,33.38,32.19,0,100
01:40:18,9.58,9.06,33.19,33.56,32.13,0,100
01:40:21,9.54,8.98,33.19,33.78,32.06,0,100
01:40:24,9.55,9.02,33.19,33.97,32.00,0,100
01:40:28,9.51,8.98,33.22,34.13,31.97,0,100
01:40:31,9.58,8.98,33.28,34.31,31.87,0,100
01:40:34,9.55,8.87,33.41,34.50,31.78,0,100
01:40:37,9.58,9.02,33.53,34.66,31.75,0,100
01:40:40,9.55,9.02,33.66,34.88,31.72,0,100
01:40:43,9.58,9.02,33.78,35.03,31.66,0,100
01:40:46,9.59,8.94,33.97,35.22,31.59,0,100
01:40:49,9.58,8.90,34.03,35.41,31.50,0,100
01:40:53,9.58,8.90,34.16,35.53,31.47,0,100
01:40:56,9.61,8.94,34.28,35.72,31.44,0,100
01:40:59,9.60,8.94,34.41,35.84,31.34,0,100
01:41:02,9.60,8.94,34.53,36.00,31.34,0,100
01:41:05,9.59,8.90,34.66,36.19,31.28,0,100
01:41:08,9.59,8.79,34.78,36.31,31.22,0,100
01:41:11,9.60,8.87,34.91,36.50,31.16,0,100
01:41:14,9.58,8.87,35.00,36.63,31.12,0,100
01:41:17,9.60,8.83,35.13,36.78,31.12,0,100
01:41:21,9.61,8.79,35.28,36.94,31.09,0,100
01:41:24,9.59,8.79,35.41,37.09,31.06,0,100
01:41:27,9.56,8.87,35.47,37.22,31.03,0,100
01:41:30,9.61,8.87,35.59,37.34,30.97,0,100
01:41:33,9.63,8.83,35.72,37.47,30.94,0,100
01:41:36,9.59,8.94,35.91,37.59,30.91,0,100
