Test: CoolingTest02_Calorimeter_14V
Date: Thu Mar 31 18:54:50 2022
Time,Voltage[V],Current[mA],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
18:55:47,0.00,-0.23,33.75,33.56,33.38,0,0
18:55:51,0.00,-0.23,33.69,33.56,33.44,0,0
18:55:54,7.35,1.81,33.66,33.56,33.41,0,0
18:55:57,14.72,3.13,33.69,33.56,33.44,0,0
18:56:00,14.77,2.98,33.69,33.56,33.44,0,0
18:56:03,14.67,2.91,-46.66,33.56,33.47,0,0
18:56:06,14.71,2.72,33.69,33.56,33.44,0,0
18:56:09,14.63,2.64,33.69,33.56,33.50,0,0
18:56:12,14.69,2.64,33.69,33.56,33.50,0,0
18:56:15,14.66,2.72,33.69,33.56,33.56,0,0
18:56:19,14.68,2.64,33.69,33.56,33.56,0,0
18:56:22,14.79,2.60,33.69,33.63,33.63,0,0
18:56:25,14.67,2.60,33.69,33.59,33.69,0,0
18:56:28,14.67,2.64,33.66,33.56,33.72,0,0
18:56:31,14.73,2.60,33.66,33.56,33.78,0,0
18:56:34,14.66,2.64,33.69,33.56,33.81,0,0
18:56:37,14.67,2.53,33.66,33.56,33.88,0,0
18:56:40,14.63,2.57,33.69,33.56,33.94,0,0
18:56:43,14.64,2.57,33.69,33.56,34.03,0,0
18:56:47,14.76,2.64,33.63,33.59,34.09,0,0
18:56:50,14.68,2.68,33.63,33.56,34.16,0,0
18:56:53,14.69,2.53,33.63,33.56,34.22,0,0
18:56:56,14.67,2.60,33.63,33.56,34.28,0,0
18:56:59,14.68,2.64,33.63,33.56,34.34,0,0
18:57:02,14.71,2.45,33.63,33.56,34.44,0,0
18:57:05,14.71,2.60,33.66,33.56,34.50,0,0
18:57:08,14.74,2.57,33.63,33.53,34.59,0,0
18:57:12,14.78,2.57,33.66,33.56,34.66,0,0
18:57:15,14.73,2.49,33.66,33.56,34.72,0,0
18:57:18,14.69,2.53,33.63,33.56,34.81,0,0
18:57:21,14.71,2.53,33.66,33.56,34.88,0,0
18:57:24,14.76,2.68,33.66,33.56,34.97,0,0
18:57:27,14.72,2.57,33.63,33.59,35.03,0,0
18:57:30,14.71,2.49,33.66,33.56,35.09,0,0
