Test: CoolingTest_Calorimeter_14V
Date: Thu Mar 31 02:47:34 2022
Time,Voltage[V],Current[mA],Temp-1[C],Temp-2[C],Temp-3[C],Fan_Speed[RPM],PWM_Duty[%]
02:49:34,0.00,-0.23,33.63,30.81,32.88,0,0
02:49:37,0.00,-0.19,33.59,30.78,32.91,0,0
02:49:40,7.32,1.62,33.63,30.75,32.94,0,0
02:49:43,14.76,3.17,33.56,30.75,32.94,0,0
02:49:46,14.71,2.87,33.59,30.78,32.94,0,0
02:49:49,14.76,2.91,33.59,30.78,32.97,0,0
02:49:53,14.73,2.79,33.63,30.78,33.00,0,0
02:49:56,14.67,2.64,33.59,30.75,33.09,0,0
02:49:59,14.68,2.72,33.59,30.78,33.13,0,0
02:50:02,14.74,2.68,33.59,30.75,33.16,0,0
02:50:05,14.79,2.72,33.63,30.78,33.22,0,0
02:50:08,14.79,2.75,33.63,30.75,33.28,0,0
02:50:11,14.72,2.64,33.63,30.78,33.34,0,0
02:50:14,14.79,2.68,33.63,30.81,33.38,0,0
02:50:17,14.73,2.53,33.63,30.75,33.50,0,0
02:50:21,14.72,2.68,33.63,30.78,33.56,0,0
02:50:24,14.66,2.60,33.63,30.78,33.66,0,0
02:50:27,14.77,2.57,-46.69,30.75,33.72,0,0
02:50:30,14.76,2.64,33.66,30.78,33.81,0,0
02:50:33,14.72,2.60,33.66,30.78,33.91,0,0
02:50:36,14.69,2.60,33.63,30.78,34.00,0,0
02:50:39,14.68,2.60,33.63,30.78,34.09,0,0
02:50:42,14.72,2.49,33.66,30.81,34.16,0,0
02:50:45,14.81,2.57,33.63,30.75,34.25,0,0
02:50:49,14.74,2.64,33.63,30.75,34.34,0,0
02:50:52,14.72,2.57,33.63,30.78,34.41,0,0
02:50:55,14.78,2.57,33.63,30.78,34.47,0,0
02:50:58,14.71,2.53,33.63,30.81,34.59,0,0
02:51:01,14.73,2.68,33.66,30.75,34.69,0,0
02:51:04,14.74,2.60,33.66,30.81,34.75,0,0
02:51:07,14.69,2.57,33.63,30.78,34.81,0,0
02:51:10,14.69,2.64,33.66,30.81,34.91,0,0
02:51:14,14.74,2.49,33.63,30.78,34.97,0,0
02:51:17,14.73,2.57,33.66,30.81,35.06,0,0
02:51:20,14.79,2.60,33.66,30.81,35.16,0,0
02:51:23,14.74,2.60,33.69,30.78,35.22,0,0
02:51:26,14.66,2.60,33.69,30.81,35.31,0,0
02:51:29,14.68,2.60,33.69,30.78,35.38,0,0
02:51:32,14.76,2.53,33.69,30.81,35.44,0,0
02:51:35,14.72,2.64,33.66,30.81,35.53,0,0
02:51:38,14.73,2.60,33.69,30.81,35.63,0,0
02:51:42,14.78,2.64,33.69,30.81,35.69,0,0
02:51:45,14.74,2.53,33.69,30.81,35.75,0,0
02:51:48,14.73,2.57,33.69,30.81,35.81,0,0
02:51:51,14.81,2.60,33.69,30.84,35.91,0,0
02:51:54,14.68,2.57,33.69,30.84,36.00,0,0
02:51:57,14.76,2.49,33.63,30.81,36.06,0,0
02:52:00,14.78,2.53,33.69,30.84,36.13,0,0
02:52:03,14.69,2.57,33.69,30.84,36.16,0,0
02:52:06,14.73,2.64,33.69,30.84,36.25,0,0
02:52:10,14.64,2.57,33.69,30.87,36.28,0,0
02:52:13,14.69,2.57,33.69,30.87,36.34,0,0
02:52:16,14.71,2.57,33.69,30.87,36.41,0,0
02:52:19,14.77,2.60,33.69,30.87,36.47,0,0
02:52:22,14.68,2.57,33.69,30.84,36.56,0,0
02:52:25,14.73,2.57,33.69,30.87,36.59,0,0
02:52:28,14.71,2.60,33.69,30.87,36.66,0,0
02:52:31,14.72,2.57,33.69,30.91,36.72,0,0
02:52:35,14.73,2.60,33.69,30.87,36.78,0,0
02:52:38,14.66,2.57,33.69,30.87,36.81,0,0
02:52:41,14.79,2.49,33.69,30.87,36.91,0,0
02:52:44,14.77,2.60,33.69,30.87,36.94,0,0
02:52:47,14.68,2.45,33.69,30.91,37.03,0,0
02:52:50,14.67,2.53,33.69,30.87,37.09,0,0
02:52:53,14.78,2.53,33.72,30.91,37.13,0,0
02:52:56,14.71,2.53,33.72,30.87,37.16,0,0
